"District ","count_households","total_population","male_population","female_population","sex_ratio","mean_household_size","total_absent_population","absent_males","absent_females","total_above5_population","total_illiterate","males_above5","illiterate_males","females_above5","illiterate_females","sq_km","population_density"
"Taplejung",26509,127461,60552,66909,90.5,4.81,9793,9114,679,114567,29681,54077,9644,60490,20037,3646,35
"Panchthar",41196,191817,90186,101631,88.7,4.66,17842,16605,1237,174563,42283,81486,13407,93077,28876,1241,155
"Ilam",64502,290254,141126,149128,94.6,4.5,21486,18949,2537,269760,53057,130666,17548,139094,35509,1703,170
"Jhapa",184552,812650,385096,427554,90.1,4.4,80625,68928,11697,743957,172072,349759,55364,394198,116708,1606,506
"Morang",213997,965370,466712,498658,93.6,4.51,70462,62064,8398,880229,240604,423298,81549,456931,159055,1855,520
"Sunsari",162407,763487,371229,392258,94.6,4.7,50281,43381,6894,695435,205155,336594,71024,358841,134131,1257,607
"Dhankuta",37637,163412,76515,86897,88.1,4.34,14415,13538,876,148935,35194,69168,10885,79767,24309,891,183
"Terhathum",22094,101577,47151,54426,86.6,4.6,9791,9273,518,92466,21427,42507,6026,49959,15401,679,150
"Sankhuwasabha",34624,158742,75225,83517,90.1,4.58,12198,11335,863,143478,39742,67469,13190,76009,26552,3480,46
"Bhojpur",39419,182459,86053,96406,89.3,4.63,14863,13822,1041,164632,46294,76971,14660,87661,31634,1507,121
"Solukhumbu",23785,105886,51200,54686,93.6,4.45,5617,4730,887,95894,31212,46224,10762,49670,20450,3312,32
"Okhaldhunga",32502,147984,68687,79297,86.6,4.55,10552,9371,1181,133986,43868,61577,14033,72409,29835,1074,138
"Khotang",42664,206312,97092,109220,88.9,4.84,17662,16504,1158,185708,51414,86695,16272,99013,35142,1591,130
"Udayapur",66557,317532,149712,167820,89.2,4.77,22060,20036,2024,286045,81850,133746,27133,152299,54717,2063,154
"Saptari",121098,639284,313846,325438,96.4,5.28,26433,25676,752,576027,244192,281465,84505,294562,159687,1363,469
"Siraha",117962,637328,310101,327227,94.8,5.4,45790,45293,490,568333,266111,274767,96548,293566,169563,1188,536
"Dhanusa",138249,754777,378538,376239,100.6,5.46,60400,59570,815,679445,311343,340300,121992,339145,189351,1180,640
"Mahottari",111316,627580,311016,316564,98.2,5.64,40541,39621,911,556271,282204,275017,111795,281254,170409,1002,626
"Sarlahi",132844,769729,389756,379973,102.6,5.79,21401,19747,1654,682883,346912,345544,143011,337339,203901,1259,611
"Sindhuli",57581,296192,142123,154069,92.2,5.14,15287,14003,1284,265265,96176,126320,33918,138945,62258,2491,119
"Ramechhap",43910,202646,93386,109260,85.5,4.62,11199,9742,1457,186623,63404,85361,20018,101262,43386,1546,131
"Dolakha",45688,186557,87003,99554,87.4,4.08,10121,8266,1855,170820,57447,79064,18400,91756,39047,2191,85
"Sindhupalchok",66688,287798,138351,149447,92.6,4.32,19712,13035,6677,264274,98960,126532,36771,137742,62189,2542,113
"Kavrepalanchok",80720,381937,182936,199001,91.9,4.73,14531,12565,1966,353924,96942,168411,29750,185513,67192,1396,274
"Lalitpur",109797,468132,238082,230050,103.5,4.26,24386,17573,6813,438629,68735,222592,18693,216037,50042,385,1216
"Bhaktapur",68636,304651,154884,149767,103.4,4.44,10215,8077,2138,284829,47119,144259,11589,140570,35530,119,2560
"Kathmandu",436344,1744240,913001,831239,109.8,4,99805,71837,27967,1632640,198225,853486,55116,779154,143109,395,4416
"Nuwakot",59215,277471,132787,144684,91.8,4.69,14311,12466,1844,255687,93216,121619,34214,134068,59002,1121,248
"Rasuwa",9778,43300,21475,21825,98.4,4.43,3128,2236,892,39545,17148,19565,7065,19980,10083,1544,28
"Dhading",73851,336067,157834,178233,88.6,4.55,22537,20207,2330,305985,105681,142433,37348,163552,68333,1926,174
"Makwanpur",86127,420477,206684,213793,96.7,4.88,16547,14374,2173,382268,112688,187219,40930,195049,71758,2426,173
"Rautahat",106668,686722,351079,335643,104.6,6.44,9331,8999,330,605290,328997,310238,140361,295052,188636,1126,610
"Bara",108635,687708,351244,336464,104.4,6.33,12530,11900,629,609220,273830,311464,106556,297756,167274,1190,578
"Parsa",95536,601017,312358,288659,108.2,6.29,8053,7456,597,533174,219072,278048,83775,255126,135297,1353,444
"Chitawan",132462,579984,279087,300897,92.8,4.38,50421,43728,6693,537183,112785,256694,36351,280489,76434,2218,261
"Gorkha",66506,271061,121041,150020,80.7,4.08,28104,25375,2729,247857,77323,109273,24558,138584,52765,3610,75
"Lamjung",42079,167724,75913,91811,82.7,3.99,21161,19242,1918,153626,40499,68736,11666,84890,28833,1692,99
"Tanahu",78309,323288,143410,179878,79.7,4.13,46387,43141,3245,295611,68519,129445,18673,166166,49846,1546,209
"Syangja",68881,289148,125833,163315,77,4.2,50476,46024,4451,265025,57502,113340,13937,151685,43565,1164,248
"Kaski",125673,492098,236385,255713,92.4,3.92,57305,48304,9001,454992,72983,216624,18365,238368,54618,2017,244
"Manang",1480,6538,3661,2877,127.3,4.42,279,166,113,6161,1509,3481,570,2680,939,2246,3
"Mustang",3354,13452,7093,6359,111.5,4.01,1425,986,439,12588,3945,6676,1502,5912,2443,3573,4
"Myagdi",27762,113641,51395,62246,82.6,4.09,14314,13299,1015,101793,26207,45372,7617,56421,18590,2297,49
"Parbat",35719,146590,65301,81289,80.3,4.1,21735,19783,1952,133055,31665,58306,8253,74749,23412,494,297
"Baglung",61522,268613,117997,150616,78.3,4.37,42623,38180,4442,241105,61469,103827,17485,137278,43984,1784,151
"Gulmi",64921,280160,120995,159165,76,4.32,58561,51222,7339,252052,64335,106310,17393,145742,46942,1149,244
"Palpa",59291,261180,115840,145340,79.7,4.41,39504,35787,3717,237191,50387,103503,13185,133688,37202,1373,190
"Nawalparasi",128793,643508,303675,339833,89.4,5,65335,58643,6692,587898,159522,274920,49675,312978,109847,2162,298
"Rupandehi",163916,880196,432193,448003,96.5,5.37,62904,55785,7119,800430,222636,390651,72134,409779,150502,1360,647
"Kapilbastu",91321,571936,285599,286337,99.7,6.26,29792,27110,2680,508498,210299,253216,79443,255282,130856,1738,329
"Arghakhanchi",46835,197632,86266,111366,77.5,4.22,39929,35455,4474,176838,44495,75231,12029,101607,32466,1193,166
"Pyuthan",47730,228102,100053,128049,78.1,4.78,36858,33067,3791,198472,61128,85054,16663,113418,44465,1309,174
"Rolpa",43757,224506,103100,121406,84.9,5.13,23597,21485,2112,195969,72181,88582,22449,107387,49732,1879,119
"Rukum",41856,208567,99159,109408,90.6,4.98,13051,11774,1276,184251,64994,86955,22856,97296,42138,2877,72
"Salyan",46556,242444,115969,126475,91.7,5.21,14213,12876,1337,214815,69520,101916,23120,112899,46400,1462,166
"Dang",116415,552583,261059,291524,89.5,4.75,43160,39328,3830,499109,137869,233721,44648,265388,93221,2955,187
"Banke",94773,491313,244255,247058,98.9,5.18,21359,18890,2469,442485,154471,219393,60252,223092,94219,2337,210
"Bardiya",83176,426576,205080,221496,92.6,5.13,25044,21719,3325,387623,126772,185149,45705,202474,81067,2025,211
"Surkhet",72863,350804,169421,181383,93.4,4.81,23197,20173,3024,311513,75150,149173,23084,162340,52066,2451,143
"Dailekh",48919,261770,126990,134780,94.2,5.35,11221,9697,1524,226466,77438,108973,26093,117493,51345,1502,174
"Jajarkot",30472,171304,85537,85767,99.7,5.62,4174,3524,650,146035,56478,72824,22026,73211,34452,2230,77
"Dolpa",7488,36700,18238,18462,98.8,4.9,447,360,87,31805,13438,15795,4559,16010,8879,7889,5
"Jumla",19303,108921,54898,54023,101.6,5.64,1463,1122,341,93960,39379,47370,13508,46590,25871,2531,43
"Kalikot",23013,136948,68833,68115,101.1,5.95,2096,1723,373,115305,44544,57732,15911,57573,28633,1741,79
"Mugu",9619,55286,28025,27261,102.8,5.75,699,542,157,46669,20535,23671,7154,22998,13381,3535,16
"Humla",9479,50858,25833,25025,103.2,5.37,682,415,267,43462,21459,22169,7777,21293,13682,5655,9
"Bajura",24908,134912,65806,69106,95.2,5.42,8054,6044,2010,115977,48514,56160,16193,59817,32321,2188,62
"Bajhang",33786,195159,92794,102365,90.7,5.78,22845,16292,6553,167998,69182,78875,18774,89123,50408,3422,57
"Achham",48351,257477,120008,137469,87.3,5.33,31015,24638,6377,221088,89229,101551,25759,119537,63470,1680,153
"Doti",41440,211746,97252,114494,84.9,5.11,23544,20860,2684,181144,72883,81673,18992,99471,53891,2025,105
"Kailali",142480,775709,378417,397292,95.2,5.44,62644,50441,12202,701431,217198,340202,72531,361229,144667,3235,240
"Kanchanpur",82152,451248,216042,235206,91.9,5.49,38398,32873,5518,407283,110688,193331,32074,213952,78614,1610,280
"Dadeldhura",27045,142094,66556,75538,88.1,5.25,11670,10408,1262,124926,40039,57805,10225,67121,29814,1538,92
"Baitadi",45191,250898,117407,133491,88,5.55,21039,17299,3740,218915,75219,101046,18616,117869,56603,1519,165
"Darchula",24618,133274,63605,69669,91.3,5.41,6864,5956,908,117150,37784,55418,10278,61732,27506,2322,57
