District,Total_Houses,Houses_Owned,Houses_Rented,Houses_Institutional,Houses_Others
Taplejung,26471,21533,3052,133,1753
Panchthar,41176,36413,4016,230,517
Ilam,64477,57975,4480,467,1555
Jhapa,184384,157581,20403,2251,4149
Morang,213870,185571,22959,1681,3659
Sunsari,162279,134351,21598,2646,3684
Dhankuta,37616,32116,4298,506,696
Terhathum,22084,19251,1694,83,1056
Sankhuwasabha,34615,30959,2596,189,871
Bhojpur,39393,36057,2128,183,1025
Solukhumbu,23758,20995,2238,150,375
Okhaldhunga,32466,30818,1172,113,363
Khotang,42647,40621,1303,86,637
Udayapur,66514,61452,4131,419,512
Saptari,121064,116451,2654,364,1595
Siraha,117929,113960,2326,496,1147
Dhanusa,138225,131418,5311,622,874
Mahottari,111298,109298,1345,216,439
Sarlahi,132803,129240,2559,260,744
Sindhuli,57544,54269,2815,100,360
Ramechhap,43883,41735,1773,98,277
Dolakha,45658,42742,2235,315,366
Sindhupalchok,66635,62563,3252,259,561
Kavrepalanchok,80651,73363,6457,283,548
Lalitpur,109505,62419,44806,1121,1159
Bhaktapur,68557,44988,22349,372,848
Kathmandu,435544,171828,255444,4675,3597
Nuwakot,59194,55981,2195,394,624
Rasuwa,9741,8747,704,165,125
Dhading,73842,67706,5224,235,677
Makwanpur,86045,75155,8561,1109,1220
Rautahat,106652,104995,1069,125,463
Bara,108600,104352,2955,551,742
Parsa,95516,86655,7751,650,460
Chitawan,132345,99107,22589,1704,8945
Gorkha,66458,60591,4941,257,669
Lamjung,42048,35760,5438,243,607
Tanahu,78286,66323,10344,488,1131
Syangja,68856,61462,6317,262,815
Kaski,125459,76599,44192,1656,3012
Manang,1448,904,329,36,179
Mustang,3305,2278,706,182,139
Myagdi,27727,23310,3072,244,1101
Parbat,35698,31090,3621,186,801
Baglung,61482,54549,5947,151,835
Gulmi,64887,58924,4912,232,819
Palpa,59260,51704,6510,400,646
Nawalparasi,128760,117806,9358,569,1027
Rupandehi,163835,137116,24172,1219,1328
Kapilbastu,91264,87462,3199,179,424
Arghakhanchi,46826,43895,2512,160,259
Pyuthan,47716,45538,1706,185,287
Rolpa,43735,41188,2204,118,225
Rukum,41837,39579,1918,46,294
Salyan,46524,44660,1547,126,191
Dang,116347,103762,10724,418,1443
Banke,94693,83430,9911,713,639
Bardiya,83147,80076,2072,238,761
Surkhet,72830,66131,5681,156,862
Dailekh,48915,46899,1604,79,333
Jajarkot,30468,29720,578,14,156
Dolpa,7466,6961,327,120,58
Jumla,19291,18394,664,80,153
Kalikot,23008,21983,850,48,127
Mugu,9600,9303,209,33,55
Humla,9437,8574,526,197,140
Bajura,24888,23506,1045,138,199
Bajhang,33773,32904,560,110,199
Achham,48318,46812,1023,163,320
Doti,41383,39152,1321,360,550
Kailali,142413,132935,7861,462,1155
Kanchanpur,82134,77300,3594,324,916
Dadeldhura,27023,25352,1032,177,462
Baitadi,45167,43881,662,114,510
Darchula,24604,23175,1070,179,180
