District,TotPopAbove5Years,TotPopcanReadandWrite,TotPopReadOnly,TotPopCantReadWrite,LiteracyUnknown,MalePopabove5,MalePopCanReadWrite,MalePopReadOnly,MalePopCantReadWrite,MaleLiteracyUnknown,FemalePopabove5,FemalePopCanReadWrite,FemalePopReadOnly,FemalePopCantReadWrite,FemaleLiteracyUnknown
Taplejung,114567,81683,3154,29681,49,54077,42880,1534,9644,19,60490,38803,1620,20037,30
Panchthar,174563,126697,5515,42283,68,81486,65471,2586,13407,22,93077,61226,2929,28876,46
Ilam,269760,210179,6367,53057,157,130666,109964,3084,17548,70,139094,100215,3283,35509,87
Jhapa,743957,558615,13047,172072,223,349759,288007,6299,55364,89,394198,270608,6748,116708,134
Morang,880229,621687,17520,240604,418,423298,333245,8339,81549,165,456931,288442,9181,159055,253
Sunsari,695435,476103,13887,205155,290,336594,259040,6421,71024,109,358841,217063,7466,134131,181
Dhankuta,148935,110764,2946,35194,31,69168,56991,1280,10885,12,79767,53773,1666,24309,19
Terhathum,92466,68996,2005,21427,38,42507,35504,965,6026,12,49959,33492,1040,15401,26
Sankhuwasabha,143478,99542,4038,39742,156,67469,52267,1966,13190,46,76009,47275,2072,26552,110
Bhojpur,164632,114149,4145,46294,44,76971,60340,1954,14660,17,87661,53809,2191,31634,27
Solukhumbu,95894,61584,3058,31212,40,46224,33922,1523,10762,17,49670,27662,1535,20450,23
Okhaldhunga,133986,86326,3764,43868,28,61577,45770,1764,14033,10,72409,40556,2000,29835,18
Khotang,185708,127826,6315,51414,153,86695,67334,3024,16272,65,99013,60492,3291,35142,88
Udayapur,286045,196843,7283,81850,69,133746,103225,3366,27133,22,152299,93618,3917,54717,47
Saptari,576027,313924,17230,244192,681,281465,188539,8166,84505,255,294562,125385,9064,159687,426
Siraha,568333,285037,15771,266111,1414,274767,169956,7752,96548,511,293566,115081,8019,169563,903
Dhanusa,679445,342694,22789,311343,2619,340300,206250,10973,121992,1085,339145,136444,11816,189351,1534
Mahottari,556271,258342,13830,282204,1895,275017,155532,6858,111795,832,281254,102810,6972,170409,1063
Sarlahi,682883,316168,19213,346912,590,345544,192691,9620,143011,222,337339,123477,9593,203901,368
Sindhuli,265265,160558,8344,96176,187,126320,88173,4148,33918,81,138945,72385,4196,62258,106
