District,Total_EducationLevel_Other,Total_Nonformal_Education,Total__Education_Unknown,Total_Educated,Total_Educated_Beginner,Total_Educated_Primary,Total_EducatedLowerSecondary,Total_EducatedSecondary,Total_EducatedSLC,Total_EducatedIntermediate,Total_EducatedGraduate,Total_PostGrad,MaleEducatedOther,MaleNonFormalEducation,MaleEducationUnknown,Total_MaleEducated,MaleBeginnerEducation,MalePrimaryEducation,MaleLowSecondaryEducation,MaleSecondaryEducation,MaleSLCEducation,MaleIntermidiateEducation,MaleGraduateEducation,MalePostGraduate,FemaleOtherEducation,FemalNonFomalEducation,FemaleEducationUnKnown,Total_FemaleEducated,FemaleEducationBeginner,FemalePrimaryEducation,FemaleLowerSecondaryEducation,FemaleSecondaryEducation,FemaleSLCEducation,FemaleIntermediateEducation,FemaleGraduateLevel,FemalePostGraduate
Taplejung,3,2517,343,83919,3512,36579,18542,9990,8691,2665,841,236,2,1424,185,44026,1841,19148,9121,5230,4625,1615,630,205,1,1093,158,39893,1671,17431,9421,4760,4066,1050,211,31
Panchthar,20,5612,244,129869,4088,52014,29902,17621,13534,4861,1607,366,14,2974,137,67077,2167,27571,14621,8926,6697,2543,1121,306,6,2638,107,62792,1921,24443,15281,8695,6837,2318,486,60
Ilam,49,13775,1567,212402,4012,78393,49479,30226,20845,9784,3409,863,29,7028,871,111108,2094,42320,24764,15147,10588,5287,2298,682,20,6747,696,101294,1918,36073,24715,15079,10257,4497,1111,181
Jhapa,94,25574,1510,563926,18550,183611,123545,89680,70598,33733,13530,3501,52,13590,793,290850,9961,95630,61692,43098,35354,18785,9146,2749,42,11984,717,273076,8589,87981,61853,46582,35244,14948,4384,752
Morang,203,27039,2012,629142,19408,223219,128402,85627,81641,38125,18193,5273,111,13479,1015,337120,10367,118384,67561,44661,42528,22096,12817,4101,92,13560,997,292022,9041,104835,60841,40966,39113,16029,5376,1172
Sunsari,268,18209,1760,483344,18800,173348,95610,63538,68306,29105,11390,3010,167,9124,898,262823,10017,93296,51608,34416,36374,16847,7805,2271,101,9085,862,220521,8783,80052,44002,29122,31932,12258,3585,739
Dhankuta,70,8189,167,112354,4102,40915,24465,15238,12312,4712,1639,545,38,3741,69,57810,2176,21362,12183,7640,6417,2637,1112,435,32,4448,98,54544,1926,19553,12282,7598,5895,2075,527,110
Terhathum,50,3598,177,70012,1670,24730,15962,9502,10735,2440,901,247,30,1810,92,36064,906,12713,7682,4952,5573,1428,661,217,20,1788,85,33948,764,12017,8280,4550,5162,1012,240,30
Sankhuwasabha,83,5652,432,102011,3554,47527,21265,10249,8510,3336,1102,301,47,2951,206,53517,1893,24380,10560,5533,4815,2065,808,259,36,2701,226,48494,1661,23147,10705,4716,3695,1271,294,42
Bhojpur,83,7707,264,116984,4106,50350,25130,13502,11563,2970,1035,274,40,3774,127,61786,2195,26317,12905,7312,6266,1795,816,239,43,3933,137,55198,1911,24033,12225,6190,5297,1175,219,35
Solukhumbu,63,2576,124,63523,2366,31375,12641,6131,4620,2760,695,172,48,1296,63,34909,1188,17169,6930,3337,2619,1553,552,154,15,1280,61,28614,1178,14206,5711,2794,2001,1207,143,18
Okhaldhunga,88,5905,389,89005,3130,39676,18099,9916,6588,4021,945,248,49,2866,169,47122,1609,20864,9636,5529,3586,1911,688,215,39,3039,220,41883,1521,18812,8463,4387,3002,2110,257,33
Khotang,81,7421,995,131360,4557,55461,26145,15586,15115,4531,1153,315,54,3752,548,69120,2317,28713,13347,8564,8146,2534,870,275,27,3669,447,62240,2240,26748,12798,7022,6969,1997,283,40
Udayapur,141,9741,576,200925,7951,83363,44119,21386,23111,7893,2074,570,65,4655,306,105343,4195,44422,22521,11037,11948,4182,1520,492,76,5086,270,95582,3756,38941,21598,10349,11163,3711,554,78
Saptari,535,5745,2876,319680,8883,129377,63685,41849,33923,21283,9700,1824,329,3161,1676,191510,5147,70753,37673,27152,22404,14252,7419,1544,206,2584,1200,128170,3736,58624,26012,14697,11519,7031,2281,280
Siraha,684,3354,2654,290093,8068,126007,59036,34229,31041,16651,6709,1660,365,1866,1451,172611,4571,69110,34589,22113,20232,11490,5331,1493,319,1488,1203,117482,3497,56897,24447,12116,10809,5161,1378,167
Dhanusa,798,7504,4597,346984,7935,139606,70662,42077,36384,22554,11929,2938,432,4085,2648,208510,4568,76608,41240,27560,24188,15413,9320,2448,366,3419,1949,138474,3367,62998,29422,14517,12196,7141,2609,490
Mahottari,778,4786,2158,262897,6935,124166,52186,26718,24402,14158,5207,1403,457,2864,1262,157940,3873,68537,31181,17842,16661,9945,4154,1164,321,1922,896,104957,3062,55629,21005,8876,7741,4213,1053,239
Sarlahi,526,6227,2796,321834,11177,151230,62600,31736,30222,17765,6027,1528,301,3536,1541,195723,6224,87285,38978,20738,19379,11750,4689,1302,225,2691,1255,126111,4953,63945,23622,10998,10843,6015,1338,226
Sindhuli,98,8392,692,165389,8070,77423,32479,13442,15526,6830,1854,583,54,3981,388,90721,4315,41486,17896,7912,9131,3748,1307,503,44,4411,304,74668,3755,35937,14583,5530,6395,3082,547,80
Ramechhap,93,8619,903,118368,3040,51178,26307,12305,9237,5009,1280,397,61,4300,522,63167,1605,27450,13641,6414,5405,2530,894,345,32,4319,381,55201,1435,23728,12666,5891,3832,2479,386,52
Dolakha,166,6585,360,110503,7053,48071,22811,10704,8304,4733,1317,399,98,2980,194,59648,3638,25911,12235,6055,4743,2592,865,337,68,3605,166,50855,3415,22160,10576,4649,3561,2141,452,62
Sindhupalchok,151,15266,820,160135,4806,73000,31480,14957,11193,6315,1500,647,96,7747,439,87373,2545,39465,17109,8417,6503,3442,1074,536,55,7519,381,72762,2261,33535,14371,6540,4690,2873,426,111
Kavrepalanchok,166,16113,1783,250441,8373,94278,51323,29516,26087,16058,5208,1536,92,7833,940,135843,4376,50618,27548,15946,15133,8913,3311,1133,74,8280,843,114598,3997,43660,23775,13570,10954,7145,1897,403
Lalitpur,480,17100,1256,363595,10917,83129,58144,43542,51701,52511,31063,13752,314,7745,598,201402,5812,44882,32244,24032,28765,29063,18781,9166,166,9355,658,162193,5105,38247,25900,19510,22936,23448,12282,4586
Bhaktapur,193,9736,1282,233191,7660,54560,41340,30724,35627,31289,14992,5788,111,4366,664,130805,4093,29575,23239,17198,20559,17440,9359,4201,82,5370,618,102386,3567,24985,18101,13526,15068,13849,5633,1587
Kathmandu,1517,50182,6513,1411979,42825,288228,207321,164795,217207,227008,143117,63266,974,22305,3613,788803,23088,154077,113731,89659,121751,126348,88794,44463,543,27877,2900,623176,19737,134151,93590,75136,95456,100660,54323,18803
Nuwakot,117,12201,1974,155540,5601,63242,32510,17576,12260,7281,2265,513,81,6693,1134,84005,2984,34001,17032,9193,7048,3950,1482,407,36,5508,840,71535,2617,29241,15478,8383,5212,3331,783,106
Rasuwa,30,511,101,21847,914,10310,4548,1976,1888,1142,333,94,23,311,59,12227,455,5526,2531,1095,1201,696,255,75,7,200,42,9620,459,4784,2017,881,687,446,78,19
Dhading,147,9808,855,196764,8493,93555,40853,18451,14751,7124,2072,655,88,4862,468,103545,4561,49178,20867,9607,8241,3733,1389,551,59,4946,387,93219,3932,44377,19986,8844,6510,3391,683,104
Makwanpur,239,15326,637,265790,11537,120022,52908,23256,21993,13281,5018,1573,154,7495,323,144596,6160,66332,27550,11864,12623,7658,3244,1193,85,7831,314,121194,5377,53690,25358,11392,9370,5623,1774,380
Rautahat,1275,3262,3559,257112,6013,123590,48406,24979,22603,16127,5887,1411,589,1968,1998,160488,3431,71529,31102,17201,15954,10969,4558,1189,686,1294,1561,96624,2582,52061,17304,7778,6649,5158,1329,222
Bara,616,2863,1995,324651,11380,156953,67283,33217,27984,15289,5756,1315,258,1647,1194,199708,6245,89980,42857,22587,18974,10470,4390,1106,358,1216,801,124943,5135,66973,24426,10630,9010,4819,1366,209
Parsa,381,3308,1861,304925,11666,138713,61702,33094,21824,18867,10885,2624,210,1843,1055,189742,6434,79768,39809,23197,14271,12988,8129,2038,171,1465,806,115183,5232,58945,21893,9897,7553,5879,2756,586
Chitawan,408,23333,1351,417778,12856,134709,91086,51552,52715,33368,12262,4138,211,11189,695,217574,6974,70428,45127,25946,28378,17784,7694,3148,197,12144,656,200204,5882,64281,45959,25606,24337,15584,4568,990
