District,TotMathStatMajor,TotAgricultureMaj,TotComputingMaj,TotJournalismMajor,TotOtherMajors,TotUkMajor,Totgrads,TotHumanitiesMajors,TotBusinessMaj,TotEduMajor,TotScienceMajors,TotHealthMajors,TotEngineerMajors,TotLawMajors,TotSocialSciMajors,MaleMathMajors,MaleAgricultureMajor,MaleComputingMajor,MaleJournalismMajor,MaleOtherMajor,MaleukMajor,TotMalegrads,MaleHumanitiesMajor,MaleBusinessMajor,MaleEducationMajor,MaleScienceMajor,MaleHealthMajor,MaleEngineerMajors,MaleLawMajor,MaleSocialscienceMajor,FemaleMathMajor,FemaleAgriMajor,FemaleComputingMajor,FemaleJournalismMajor,FemaleOtherMajor,FemaleUnknownmajor,FemaleTotalGrads,FemaleHumanitiesMajor,FemaleBusinessMajor,FemaleEducationMajor,FemaleScienceMajor,FemaleHealthMajor,FemaleEngineerMajor,FemaleLawMajor,FemaleSocialScienceMajor
Taplejung,42,25,1,1,33,652,3742,1311,265,1088,92,18,30,62,122,38,16,1,1,19,401,2450,887,214,609,82,11,28,48,95,4,9,0,0,14,251,1292,424,51,479,10,7,2,14,27
Panchthar,98,54,10,0,27,897,6834,2387,695,1972,229,38,34,90,303,79,28,7,0,21,508,3970,1386,527,893,184,24,32,73,208,19,26,3,0,6,389,2864,1001,168,1079,45,14,2,17,95
Ilam,76,96,17,1,37,2690,14056,4816,1854,3263,393,74,62,209,468,65,62,13,0,29,1464,8267,2884,1258,1628,322,40,49,166,287,11,34,4,1,8,1226,5789,1932,596,1635,71,34,13,43,181
Jhapa,162,233,115,1,173,6817,50764,15859,14418,7757,2438,484,254,753,1300,129,145,93,1,117,3975,30680,9518,9683,3143,1911,262,229,609,865,33,88,22,0,56,2842,20084,6341,4735,4614,527,222,25,144,435
Morang,258,286,253,11,124,8779,61591,15399,18746,8267,4661,997,928,904,1978,219,190,210,10,85,5373,39014,9382,12789,3770,3526,526,845,771,1318,39,96,43,1,39,3406,22577,6017,5957,4497,1135,471,83,133,660
Sunsari,269,188,149,3,290,6083,43505,11182,11685,6249,3861,929,653,584,1380,237,135,124,3,86,3727,26923,6853,7598,2809,2798,547,586,478,942,32,53,25,0,204,2356,16582,4329,4087,3440,1063,382,67,106,438
Dhankuta,96,88,6,2,19,632,6896,1969,932,2283,215,102,54,62,436,80,75,5,2,9,356,4184,1181,629,1215,188,61,52,53,278,16,13,1,0,10,276,2712,788,303,1068,27,41,2,9,158
Terhathum,22,26,3,3,2,526,3588,1075,377,1182,116,28,24,54,150,20,19,2,3,2,317,2306,717,297,633,102,16,21,41,116,2,7,1,0,0,209,1282,358,80,549,14,12,3,13,34
Sankhuwasabha,55,33,6,1,8,1032,4739,1183,472,1391,142,91,25,84,216,51,20,6,0,6,650,3132,809,359,810,124,41,25,68,163,4,13,0,1,2,382,1607,374,113,581,18,50,0,16,53
Bhojpur,35,26,6,1,4,312,4279,1635,494,1345,108,35,22,55,201,29,20,5,1,4,195,2850,1113,378,765,100,23,21,47,149,6,6,1,0,0,11,1429,522,116,580,8,12,1,8,52
Solukhumbu,30,14,6,2,9,370,3627,715,272,1829,89,110,16,42,123,25,9,6,2,5,214,2259,464,216,1052,77,53,15,33,88,5,5,0,0,4,156,1368,251,56,777,12,57,1,9,35
Okhaldhunga,61,34,9,0,1,1043,5214,1073,226,2208,98,110,29,60,262,55,22,8,0,1,546,2814,623,164,1046,76,53,26,44,150,6,12,1,0,0,497,2400,450,62,1162,22,57,3,16,112
