District,Mud_bonded_stone_Foundation,Cement_bonded_stone_foundation,Rcc_pillar,Wood_with_pillar,Others_house_foundation,House_foundation_Uknown
Taplejung,23656,575,111,1790,181,158
Panchthar,35620,1299,371,3444,263,179
Ilam,38073,4149,1431,18255,2139,430
Jhapa,6195,41139,31716,86968,17181,1185
Morang,10143,45291,23738,105905,27288,1505
Sunsari,8196,37822,28471,68681,17719,1390
Dhankuta,28112,2161,991,5882,335,135
Terhathum,20256,294,97,1194,145,98
Sankhuwasabha,26729,290,54,6735,624,183
Bhojpur,36207,130,15,2752,208,81
Solukhumbu,22681,114,19,827,51,66
Okhaldhunga,31284,124,102,565,75,316
Khotang,40970,50,20,1172,169,266
Udayapur,11531,4759,2765,47058,110,291
Saptari,8584,22682,4273,78765,4498,2262
Siraha,6569,26028,4511,77563,1718,1540
Dhanusa,8785,38206,5176,81824,1275,2959
Mahottari,4507,24855,3672,76063,1368,833
Sarlahi,8311,25207,6966,87260,3391,1668
Sindhuli,20798,1804,1222,33310,67,343
Ramechhap,42327,434,287,322,29,484
Dolakha,42960,917,887,637,43,214
Sindhupalchok,61377,2708,1322,651,34,543
Kavrepalanchok,68449,5382,5095,613,146,966
Lalitpur,36858,34151,33934,562,275,3725
Bhaktapur,28269,17894,20868,290,273,963
Kathmandu,80811,165677,174916,2522,1243,10375
Nuwakot,55189,2056,1155,149,26,619
Rasuwa,8736,549,180,203,13,60
Dhading,63985,3416,3958,1924,114,445
Makwanpur,44230,11671,3082,26410,272,380
Rautahat,15443,17256,3129,66541,2089,2194
Bara,12738,28788,5900,56215,3487,1472
Parsa,2651,30900,5376,54740,512,1337
Chitawan,33729,44360,22126,29650,1376,1104
Gorkha,58275,2284,3660,1702,187,350
Lamjung,33594,3403,3774,1026,40,211
Tanahu,54293,11553,8596,3089,183,572
Syangja,57087,5484,4986,952,72,275
Kaski,47380,42003,34114,762,438,762
Manang,1332,44,4,61,0,7
Mustang,3097,146,3,31,7,21
Myagdi,24973,782,1593,258,4,117
Parbat,31532,2367,1290,333,41,135
Baglung,55890,1777,2791,593,24,407
Gulmi,59067,2133,2014,1439,29,205
Palpa,47964,3499,4450,2991,82,274
Nawalparasi,31317,39981,13825,40654,1971,1012
Rupandehi,44772,67756,24537,18153,6493,2124
Kapilbastu,41953,20252,4836,19478,3371,1374
Arghakhanchi,40618,1234,1340,3419,27,188
Pyuthan,44312,876,963,1281,52,232
Rolpa,41733,626,355,714,45,262
Rukum,40805,367,122,322,11,210
Salyan,44846,502,345,386,14,431
Dang,76279,10202,9574,15959,3504,829
Banke,37078,19037,6988,17614,13026,950
Bardiya,26947,8193,1652,39931,6155,269
Surkhet,45423,5585,3132,17803,229,658
Dailekh,47276,537,370,303,25,404
Jajarkot,30127,45,5,92,8,191
Dolpa,7254,8,1,23,3,177
Jumla,19089,22,3,32,4,141
Kalikot,22738,54,2,30,12,172
Mugu,9341,32,1,28,63,135
Humla,9403,20,1,2,0,11
Bajura,24208,105,4,233,112,226
Bajhang,32922,197,16,215,1,422
Achham,47212,441,12,230,27,396
Doti,39049,684,74,1245,47,284
Kailali,23151,27893,3442,85969,985,973
Kanchanpur,11435,25500,1261,42820,175,943
Dadeldhura,22840,1079,482,2425,17,180
Baitadi,43972,749,104,47,2,293
Darchula,21898,2112,346,64,58,126
