District,Wall_mud_stone,Wal_cem_stone,Wall_wood_planks,Wall_Bamboo,Wall_unbaked_bricks,Wall_others,Wall_uknown
Taplejung,21952,820,1226,2124,8,144,197
Panchthar,33219,1859,1846,3768,24,271,189
Ilam,32325,6195,12541,11568,158,1229,461
Jhapa,3455,66326,15991,93918,227,3251,1216
Morang,6346,64984,20967,118224,206,1537,1606
Sunsari,4066,57216,9226,88549,161,1621,1440
Dhankuta,27597,3400,1306,4742,111,316,144
Terhathum,19959,454,319,1169,2,81,100
Sankhuwasabha,24860,403,890,7629,52,593,188
Bhojpur,35175,211,280,2938,633,69,87
Solukhumbu,22261,178,678,508,25,37,71
Okhaldhunga,30711,293,284,470,325,61,322
Khotang,40155,117,206,1779,18,97,275
Udayapur,15906,10528,9417,29662,51,645,305
Saptari,6349,25367,1511,84001,237,1093,2506
Siraha,5330,29495,3448,77039,226,698,1693
Dhanusa,6897,42156,4496,80528,697,349,3102
Mahottari,3575,26838,3615,75989,114,240,927
Sarlahi,5300,29109,8178,87492,199,790,1735
Sindhuli,29469,5087,9671,12389,55,494,379
Ramechhap,41483,1389,262,158,36,28,527
Dolakha,42107,2276,685,240,9,60,281
Sindhupalchok,60276,4907,620,155,15,56,606
Kavrepalanchok,66442,10997,418,253,1325,198,1018
Lalitpur,32342,71117,585,606,751,298,3806
Bhaktapur,26044,39677,283,436,775,345,997
Kathmandu,65556,350265,2447,3558,1982,1161,10575
Nuwakot,53975,4019,194,82,238,24,662
Rasuwa,8453,954,202,39,9,14,70
Dhading,62986,8538,830,806,10,176,496
Makwanpur,38645,25439,18095,1818,204,1427,417
Rautahat,11828,19286,5698,65414,512,1497,2417
Bara,10313,32164,9690,51460,788,2495,1690
Parsa,2849,35836,4278,49473,127,1447,1506
Chitawan,27644,74495,9451,11252,1996,6333,1174
Gorkha,57492,6698,936,680,31,232,389
Lamjung,31793,8598,525,793,12,97,230
Tanahu,51195,22963,1878,1195,81,352,622
Syangja,55146,12402,169,673,82,79,305
Kaski,40481,81226,686,636,57,1502,871
Manang,1192,108,138,3,0,0,7
Mustang,2366,303,29,9,565,10,23
Myagdi,24520,2552,344,101,4,58,148
Parbat,30843,4038,145,357,70,96,149
Baglung,54921,5136,556,333,25,69,442
Gulmi,58328,4824,320,1151,7,29,228
Palpa,47311,8950,435,1594,481,206,283
Nawalparasi,31624,58382,8220,20421,1472,7538,1103
Rupandehi,36760,100397,4151,7380,2291,10631,2225
Kapilbastu,38966,28556,4027,9703,1341,7234,1437
Arghakhanchi,41159,2754,1571,939,149,46,208
Pyuthan,43729,2315,690,531,140,66,245
Rolpa,41423,1165,246,611,1,17,272
Rukum,39823,1332,370,48,3,23,238
Salyan,44019,1607,373,35,4,16,470
Dang,52361,21606,4914,8977,23294,4310,885
Banke,29134,29392,6216,6408,7656,14714,1173
Bardiya,23960,10827,2063,18276,8366,19358,297
Surkhet,41959,12651,14633,1786,833,290,678
Dailekh,46682,1192,505,65,7,32,432
Jajarkot,29741,332,142,29,1,8,215
Dolpa,7215,18,33,1,1,12,186
Jumla,18958,75,48,4,4,54,148
Kalikot,22354,270,71,7,0,128,178
Mugu,9238,107,35,1,0,73,146
Humla,9358,42,10,1,0,15,11
Bajura,23813,282,260,12,102,186,233
Bajhang,32060,900,251,7,10,90,455
Achham,46750,723,273,39,24,86,423
Doti,38183,1535,1026,112,7,222,298
Kailali,21368,33482,45611,28344,1208,11393,1007
Kanchanpur,10294,27486,23406,15284,641,3986,1037
Dadeldhura,21645,2681,2299,154,7,51,186
Baitadi,41075,3520,229,11,21,6,305
Darchula,19023,5001,191,41,13,204,131
