District,Roof_straw,Roof_iron,Roof_tile_slate,Rcc,Roof_wood,Roof_mud,Roof_other,Roof_uknown
Taplejung,16128,8725,144,362,413,2,519,178
Panchthar,21404,17521,248,803,231,1,766,202
Ilam,8369,52221,406,2022,222,6,725,506
Jhapa,19157,132048,736,29517,524,0,1001,1401
Morang,45002,123159,6051,36834,569,0,364,1891
Sunsari,27485,96127,784,35193,517,0,537,1636
Dhankuta,17702,17580,127,1842,95,1,108,161
Terhathum,12239,9011,217,279,56,0,174,108
Sankhuwasabha,22576,8756,263,176,485,21,2129,209
Bhojpur,30521,5853,2026,62,580,6,252,93
Solukhumbu,8633,5666,2674,28,5820,5,856,76
Okhaldhunga,17111,4388,9086,119,1027,4,402,329
Khotang,31523,6603,3226,60,158,121,640,316
Udayapur,25236,18912,17587,3778,177,82,374,368
Saptari,62465,27716,13602,14167,617,0,233,2264
Siraha,42892,7757,48031,16414,1051,0,328,1456
Dhanusa,20142,3076,82263,27573,1653,0,127,3391
Mahottari,16620,1284,76619,14520,777,0,243,1235
Sarlahi,19301,1859,95137,12940,1099,0,468,1999
Sindhuli,18955,5614,30719,1455,197,16,150,438
Ramechhap,11765,10642,19011,585,1269,19,76,516
Dolakha,2424,16640,22379,1572,2234,9,155,245
Sindhupalchok,2174,35594,22748,3034,2289,23,98,675
Kavrepalanchok,8164,45660,15238,10062,265,103,94,1065
Lalitpur,1622,24862,6550,72083,207,28,213,3940
Bhaktapur,868,21042,6630,38641,179,16,93,1088
Kathmandu,2741,73112,9215,337404,914,33,654,11471
Nuwakot,2813,43308,9617,2273,209,4,60,910
Rasuwa,144,7041,934,390,1099,1,68,64
Dhading,5325,37341,23712,5302,1494,8,89,571
Makwanpur,17140,39248,13494,15042,358,7,308,448
Rautahat,15379,1611,74251,11062,1265,0,444,2640
Bara,17103,4748,62433,21462,907,0,300,1647
Parsa,17735,3562,41535,29745,782,0,456,1701
Chitawan,15739,67555,5938,40966,329,0,566,1252
Gorkha,7073,34174,16801,4747,2927,11,329,396
Lamjung,4870,26424,4080,6131,279,0,19,245
Tanahu,12765,37481,12049,15068,129,0,115,679
Syangja,12785,43682,2660,9316,37,2,53,321
Kaski,3068,57138,7578,56381,96,1,280,917
Manang,4,448,36,10,239,703,1,7
Mustang,31,192,83,26,20,2902,23,28
Myagdi,1713,3852,19991,1938,42,0,56,135
Parbat,4212,18178,10438,2668,16,0,27,159
Baglung,9393,10408,37007,3909,285,0,26,454
Gulmi,14889,25566,20586,3535,34,3,39,235
Palpa,12623,39067,242,6946,34,0,21,327
Nawalparasi,14675,47673,28775,35270,557,0,607,1203
Rupandehi,14665,25350,19440,100815,441,0,624,2500
Kapilbastu,21423,5566,8216,53326,803,0,448,1482
Arghakhanchi,11585,21016,11495,2375,107,2,31,215
Pyuthan,21265,11352,13293,1521,18,0,11,256
Rolpa,19866,1888,19682,724,1270,2,7,296
Rukum,15316,3426,19123,322,177,2981,251,241
Salyan,21007,7601,12890,778,224,3282,305,437
Dang,41306,39167,14995,19406,391,0,108,974
Banke,18023,8288,31290,35225,489,0,348,1030
Bardiya,20688,14356,38171,8431,139,0,1009,353
Surkhet,33285,13879,12378,11144,245,865,269,765
Dailekh,14083,4174,25955,956,70,2767,468,442
Jajarkot,5919,252,23069,24,33,838,103,230
Dolpa,205,163,126,10,120,6612,13,217
Jumla,101,1735,219,27,249,16782,16,162
Kalikot,7167,1402,8852,38,1547,3670,143,189
Mugu,1130,422,551,12,608,6591,7,279
Humla,128,782,94,5,120,8171,120,17
Bajura,6216,860,15578,72,107,1610,201,244
Bajhang,6329,1383,24863,460,14,13,244,467
Achham,11568,2801,32778,395,22,172,105,477
Doti,6312,2391,30907,1240,23,32,114,364
Kailali,18990,23171,75438,21458,1295,0,901,1160
Kanchanpur,8076,7247,42922,21498,609,0,502,1280
Dadeldhura,3601,2777,17919,1667,158,351,342,208
Baitadi,612,581,42526,1056,13,37,16,326
Darchula,718,649,20271,2363,14,113,331,145
