District,Water_tap,Water_handpump,Water_covered_well,Water_uncovered_well,Water_spout,Water_stream,Water_other,Water_unknown
Taplejung,23961,6,54,475,1441,183,223,128
Panchthar,29438,63,636,4266,5661,847,130,135
Ilam,47283,3010,666,5043,6617,858,666,334
Jhapa,40052,134210,2067,5057,369,188,1687,754
Morang,40468,166823,747,1602,1091,536,1762,841
Sunsari,46804,109667,660,1142,873,296,2003,834
Dhankuta,30715,27,682,3296,2298,367,141,90
Terhathum,17140,21,200,1143,3287,82,145,66
Sankhuwasabha,23395,1,452,2875,7036,638,82,136
Bhojpur,26937,75,968,4032,6862,393,80,46
Solukhumbu,21102,1,91,682,1393,415,25,49
Okhaldhunga,26818,34,604,2555,1543,641,49,222
Khotang,33310,28,791,3567,4020,666,62,203
Udayapur,28893,22943,910,10648,878,1468,567,207
Saptari,2009,114247,322,1337,90,108,1310,1641
Siraha,6446,99370,404,8098,145,753,1786,927
Dhanusa,17939,103871,1246,10412,264,215,2013,2265
Mahottari,15672,84969,221,6415,1292,374,1753,602
Sarlahi,15630,102551,1292,8401,307,691,2524,1407
Sindhuli,33424,3681,1535,13946,2144,2418,168,228
Ramechhap,34902,33,1070,3429,2746,1242,43,418
Dolakha,35547,0,194,1495,7640,537,109,136
Sindhupalchok,53799,3,731,1264,9904,368,198,368
Kavrepalanchok,63832,217,4983,5205,4760,540,417,697
Lalitpur,75073,1050,10691,2004,4718,243,14691,1035
Bhaktapur,53438,2607,4775,1862,3342,42,2081,410
Kathmandu,269909,34977,29085,5565,19263,1471,72051,3223
Nuwakot,51857,42,588,2260,3415,354,184,494
Rasuwa,8559,0,11,95,906,106,28,36
Dhading,62418,57,994,3035,6236,623,223,256
Makwanpur,63206,4300,2106,11443,3539,791,444,216
Rautahat,7428,94028,421,1269,138,138,1599,1631
Bara,18633,85671,284,1149,258,174,1290,1141
Parsa,13715,77392,297,461,1241,125,1203,1082
Chitawan,46289,65189,10528,7277,639,491,1414,518
Gorkha,41743,20,1547,3415,18640,807,33,253
Lamjung,37032,103,373,1049,3131,156,61,143
Tanahu,58688,211,4326,9184,4945,426,78,428
Syangja,56927,84,2695,3917,4592,405,66,170
Kaski,115822,171,1266,1831,3527,482,1935,425
Manang,1413,0,0,0,26,4,0,5
Mustang,3029,1,1,7,76,174,2,15
Myagdi,24238,6,136,527,2264,410,76,70
Parbat,29434,26,244,757,4855,230,65,87
Baglung,54616,31,272,2057,3098,927,189,292
Gulmi,57460,20,957,2909,2425,662,295,159
Palpa,45810,1045,1349,4000,4824,1530,532,170
Nawalparasi,51829,60049,6472,6436,1972,274,1001,727
Rupandehi,62904,96837,307,199,546,41,1764,1237
Kapilbastu,9334,77535,378,1220,571,145,1322,759
Arghakhanchi,35342,490,1807,3931,4084,906,114,152
Pyuthan,37352,404,391,3904,3805,1443,286,131
Rolpa,33643,22,234,3810,4036,1646,165,179
Rukum,30759,29,202,1813,7708,1121,88,117
Salyan,26849,47,1166,5772,10260,2023,48,359
Dang,47570,16741,14820,24415,5336,4868,2042,555
Banke,13837,76247,858,1270,327,86,1563,505
Bardiya,6184,75187,190,227,284,103,798,174
Surkhet,44376,1315,2555,6639,13384,3302,804,455
Dailekh,25337,39,978,5136,16059,859,178,329
Jajarkot,17057,33,114,1703,9652,1602,197,110
Dolpa,4841,0,6,130,1409,1058,2,20
Jumla,15441,0,27,80,2856,693,74,120
Kalikot,13347,0,223,334,8018,890,62,134
Mugu,7231,0,15,113,1652,482,1,106
Humla,6601,0,8,64,2540,195,19,10
Bajura,17038,2,64,867,5858,838,25,196
Bajhang,22658,1,628,2147,5842,1995,189,313
Achham,26829,78,2197,2401,15603,865,65,280
Doti,26268,31,1041,2498,8245,2882,250,168
Kailali,18430,115291,350,1605,2493,1819,1657,768
Kanchanpur,7851,71560,157,118,429,346,1089,584
Dadeldhura,19061,67,766,1888,2922,1498,684,137
Baitadi,30832,78,2286,4058,4669,2259,788,197
Darchula,20325,0,158,422,2075,746,793,85
