District,Cooking_Fuel_wood,Cooking_Fuel_Kerosene,Cooking_Fuel_lpgas,Cooking_Fuel_cowdung,Cooking_Fuel_biogas,Cooking_Fuel_electrity,Cooking_Fuel_others,Cooking_Fuel_Uknown
Taplejung,25287,128,849,5,63,2,6,131
Panchthar,37916,330,2368,134,196,12,80,140
Ilam,58179,455,3775,108,1527,36,50,347
Jhapa,108604,1884,41832,13288,16279,104,1620,773
Morang,96037,2806,49769,52659,8480,83,3168,868
Sunsari,57978,1936,46982,50288,2988,137,1128,842
Dhankuta,32450,226,4590,31,89,37,103,90
Terhathum,20793,63,1082,19,32,14,11,70
Sankhuwasabha,32753,181,1431,1,69,29,12,139
Bhojpur,38291,178,491,153,71,5,155,49
Solukhumbu,22699,125,91,19,13,762,1,48
Okhaldhunga,31492,137,501,60,29,1,20,226
Khotang,41853,175,304,60,33,1,13,208
Udayapur,60621,324,3839,302,883,273,65,207
Saptari,41207,2101,5015,70462,390,39,151,1699
Siraha,43151,1202,4164,67616,248,52,516,980
Dhanusa,58742,1524,13988,60380,356,36,852,2347
Mahottari,62723,1346,3344,40027,608,20,2594,636
Sarlahi,85650,1897,5272,34461,2455,78,1526,1464
Sindhuli,52342,275,2877,156,1588,12,59,235
Ramechhap,41881,306,1061,46,83,24,52,430
Dolakha,43081,188,2065,1,60,99,22,142
Sindhupalchok,61407,502,3960,4,255,76,44,387
Kavrepalanchok,63092,548,12959,60,3213,31,49,699
Lalitpur,19554,3309,84511,139,323,261,312,1096
Bhaktapur,17272,2095,47463,56,190,125,941,415
Kathmandu,33223,12213,385136,160,214,224,940,3434
Nuwakot,53158,384,3913,26,1101,72,29,511
Rasuwa,8726,69,805,0,75,17,17,32
Dhading,62367,618,7517,8,2940,52,76,264
Makwanpur,64613,824,16229,116,3521,206,316,220
Rautahat,57868,1648,2263,40456,768,14,1968,1667
Bara,73010,1047,5117,24841,2033,37,1350,1165
Parsa,62805,1067,14970,14994,258,34,265,1123
Chitawan,64933,997,52545,211,12238,234,669,518
Gorkha,56049,268,7214,20,2558,37,53,259
Lamjung,29255,149,7997,59,4364,53,21,150
Tanahu,53130,326,17475,103,6639,112,65,436
Syangja,56527,261,9758,29,1839,229,36,177
Kaski,40787,1686,76676,59,5376,137,288,450
Manang,1418,2,23,0,0,0,0,5
Mustang,1785,52,599,826,0,24,3,16
Myagdi,23999,81,3360,12,190,8,5,72
Parbat,30790,141,4483,15,151,21,6,91
Baglung,54434,183,6425,19,109,2,11,299
Gulmi,59844,197,4394,26,244,6,16,160
Palpa,47672,342,8883,56,2009,66,55,177
Nawalparasi,91408,611,21931,6865,6574,91,526,754
Rupandehi,56264,2005,56066,42519,5171,43,513,1254
Kapilbastu,49561,1089,6654,29890,3106,17,168,779
Arghakhanchi,43760,147,2601,45,89,3,21,160
Pyuthan,45386,110,1596,32,375,40,36,141
Rolpa,42406,44,954,69,31,11,40,180
Rukum,40889,43,602,113,49,5,15,121
Salyan,45147,151,688,72,54,7,31,374
Dang,88827,546,16356,4473,5288,43,260,554
Banke,67651,844,19473,3963,2044,41,133,544
Bardiya,72873,370,3652,841,5125,18,88,180
Surkhet,62123,293,9112,127,649,24,66,436
Dailekh,47523,60,750,72,122,2,51,335
Jajarkot,30142,17,66,62,56,3,5,117
Dolpa,6646,16,6,650,8,5,114,21
Jumla,19018,4,113,1,9,2,18,126
Kalikot,22544,10,248,3,34,10,20,139
Mugu,9480,2,4,0,5,0,0,109
Humla,9278,0,3,0,8,134,4,10
Bajura,24622,13,6,2,42,3,1,199
Bajhang,33209,57,121,5,50,1,10,320
Achham,47485,74,194,82,83,2,116,282
Doti,39720,206,1131,33,55,6,59,173
Kailali,122344,679,9687,308,8309,45,272,769
Kanchanpur,67369,467,6353,257,6939,14,149,586
Dadeldhura,26001,49,715,28,39,11,48,132
Baitadi,44210,266,396,43,33,3,17,199
Darchula,22890,641,819,0,101,5,63,85
