District,Lighting_electric,Lighting_kerosine,Lighting_Biogas,Lighting_solar,Lighting_others,Lighting-unknown
Taplejung,6635,11898,28,7424,355,131
Panchthar,11474,16278,298,11028,1962,136
Ilam,42261,14875,440,4397,2155,349
Jhapa,151374,29894,914,1004,418,780
Morang,162107,47348,705,2190,639,881
Sunsari,132618,26986,556,864,384,871
Dhankuta,31590,4335,114,1148,336,93
Terhathum,14833,4390,64,2045,680,72
Sankhuwasabha,18201,7905,46,6678,1650,135
Bhojpur,5844,10639,222,16596,6043,49
Solukhumbu,14918,4706,212,2469,1404,49
Okhaldhunga,13542,9082,128,7062,2427,225
Khotang,13260,11944,144,10728,6358,213
Udayapur,34113,14950,163,13119,3963,206
Saptari,50747,66975,277,1213,156,1696
Siraha,79335,35604,263,1365,376,986
Dhanusa,101226,32517,407,1529,192,2354
Mahottari,70339,38737,209,1215,161,637
Sarlahi,61859,65667,280,3045,489,1463
Sindhuli,21791,12810,92,15449,7168,234
Ramechhap,19970,13189,114,9386,796,428
Dolakha,37349,5775,5,1362,1026,141
Sindhupalchok,58827,6124,3,837,460,384
Kavrepalanchok,70415,6692,147,1756,939,702
Lalitpur,105766,1906,338,231,172,1092
Bhaktapur,67037,670,251,49,113,437
Kathmandu,427363,2330,1815,200,407,3429
Nuwakot,49130,7842,100,948,669,505
Rasuwa,6961,1148,0,620,976,36
Dhading,46257,14282,38,8196,4804,265
Makwanpur,62464,15077,212,6602,1467,223
Rautahat,49667,53839,201,979,298,1668
Bara,74169,31934,179,926,226,1166
Parsa,69000,22959,169,1962,308,1118
Chitawan,113728,7211,333,7468,3066,539
Gorkha,50788,11131,113,2890,1275,261
Lamjung,32302,6155,110,2792,539,150
Tanahu,60350,7879,213,7414,1991,439
Syangja,59576,6343,172,2054,535,176
Kaski,119757,3694,249,929,370,460
Manang,1287,24,0,124,8,5
Mustang,2353,71,0,842,23,16
Myagdi,19028,3701,46,3135,1744,73
Parbat,28614,5129,66,1589,209,91
Baglung,50242,7194,121,2253,1375,297
Gulmi,41654,13562,125,7537,1850,159
Palpa,43249,9065,120,4537,2112,177
Nawalparasi,104202,15297,247,5411,2844,759
Rupandehi,132073,29451,349,388,322,1252
Kapilbastu,58162,30901,269,414,732,786
Arghakhanchi,27823,10488,123,5639,2595,158
Pyuthan,25591,10346,86,3275,8277,141
Rolpa,9395,2180,107,20747,11127,179
Rukum,6181,2349,118,19291,13782,116
Salyan,6760,8697,32,16075,14595,365
Dang,75181,26023,313,4867,9394,569
Banke,65099,21030,257,3167,4594,546
Bardiya,52035,18869,213,2424,9427,179
Surkhet,31716,2955,222,9952,27526,459
Dailekh,6638,2022,51,18339,21532,333
Jajarkot,1225,713,41,12545,15827,117
Dolpa,1720,94,1,3770,1861,20
Jumla,5656,62,4,8548,4899,122
Kalikot,2674,328,9,8545,11314,138
Mugu,1332,74,3,5353,2730,108
Humla,2959,10,0,2138,4320,10
Bajura,5667,273,0,5582,13170,196
Bajhang,5902,4281,284,13345,9647,314
Achham,8916,2059,764,11729,24583,267
Doti,12498,4185,148,4984,19396,172
Kailali,100382,20077,266,8928,11971,789
Kanchanpur,61760,18082,194,810,689,599
Dadeldhura,12966,2020,287,2835,8780,135
Baitadi,11232,17981,64,8080,7615,195
Darchula,6631,8197,10,8137,1547,82
