District,No_toilet,Flushtoilet_publicSewage,Flushtoilet_septictank,Ordinary_toilet,Toilet_unknown
Taplejung,6921,199,4564,14656,131
Panchthar,4844,909,8487,26799,137
Ilam,6129,1289,20516,36200,343
Jhapa,47579,2895,78438,54693,779
Morang,77478,2939,84671,47907,875
Sunsari,58530,2816,66436,33628,869
Dhankuta,8568,495,11258,17205,90
Terhathum,5484,319,5293,10915,73
Sankhuwasabha,7534,17,5361,21564,139
Bhojpur,14154,955,4164,20071,49
Solukhumbu,5842,622,4681,12564,49
Okhaldhunga,9495,532,5397,16815,227
Khotang,15630,534,5849,20422,212
Udayapur,32161,695,18938,14512,208
Saptari,95950,2063,13465,7919,1667
Siraha,92854,1543,14135,8430,967
Dhanusa,89692,2399,22326,21461,2347
Mahottari,80688,1163,15988,12823,636
Sarlahi,97720,1587,21596,10444,1456
Sindhuli,38237,608,12212,6255,232
Ramechhap,16047,719,16530,10166,421
Dolakha,13860,50,17638,13982,128
Sindhupalchok,23900,332,23206,18834,363
Kavrepalanchok,21708,6855,39846,11539,703
Lalitpur,4735,49045,42492,12139,1094
Bhaktapur,2079,33019,26109,6913,437
Kathmandu,5034,300014,85728,41301,3467
Nuwakot,24073,1003,21347,12267,504
Rasuwa,4219,11,3595,1881,35
Dhading,21878,200,34116,17388,260
Makwanpur,34709,1063,36774,13275,224
Rautahat,80485,915,10705,12894,1653
Bara,78593,1123,17434,10281,1169
Parsa,62076,1109,23212,8004,1115
Chitawan,7822,1660,96035,26287,541
Gorkha,17916,450,26932,20908,252
Lamjung,8041,357,24450,9054,146
Tanahu,12623,948,48835,15445,435
Syangja,7152,752,36477,24304,171
Kaski,1061,1376,114625,7934,463
Manang,501,2,688,252,5
Mustang,1211,25,1357,696,16
Myagdi,5149,187,14323,8001,67
Parbat,3461,471,22799,8878,89
Baglung,12150,781,33189,15083,279
Gulmi,11913,625,33983,18214,152
Palpa,14050,4897,27680,12454,179
Nawalparasi,48934,1329,58649,19098,750
Rupandehi,67952,1827,70261,22527,1268
Kapilbastu,62467,687,20916,6420,774
Arghakhanchi,13287,429,15953,17000,157
Pyuthan,13764,370,19719,13723,140
Rolpa,34267,349,5981,2953,185
Rukum,27349,351,5070,8949,118
Salyan,32949,374,7832,4996,373
Dang,45534,1389,51511,17342,571
Banke,48996,1578,28762,14815,542
Bardiya,42683,1001,15458,23829,176
Surkhet,20862,953,30401,20159,455
Dailekh,24962,374,16305,6941,333
Jajarkot,17109,294,5021,7927,117
Dolpa,3677,3,2490,1275,21
Jumla,5917,4,6453,6792,125
Kalikot,9927,5,4631,8308,137
Mugu,4955,4,1335,3198,108
Humla,4699,0,2584,2144,10
Bajura,15312,4,3371,6004,197
Bajhang,23604,13,6107,3732,317
Achham,25335,492,15481,6732,278
Doti,24113,477,10054,6575,164
Kailali,72321,1838,43869,23598,787
Kanchanpur,36762,915,27354,16510,593
Dadeldhura,11226,311,10882,4469,135
Baitadi,25808,415,14564,4180,200
Darchula,13105,5,9399,2009,86
